Slug,Name,Town,Map
hamblin-pond,Hamblin Pond,Barnstable,https://www.mass.gov/files/documents/2018/02/20/Hamblin_pond.pdf
hamilton-reservoir,Hamilton Reservoir,Holland,https://www.mass.gov/files/documents/2018/01/18/Hamilton_Reservoir.pdf
hampton-ponds,Hampton Ponds,Westfield,https://www.mass.gov/files/documents/2018/02/01/Hampton_ponds.pdf
hardwick-pond,Hardwick Pond,Hardwick,https://www.mass.gov/files/documents/2019/02/01/hardwickpond.pdf
hastings-pond,Hastings Pond,Warwick,https://www.mass.gov/files/documents/2016/08/uh/dfwhast.pdf
hathaway-ponds,Hathaway Ponds,Barnstable,https://www.mass.gov/files/documents/2016/08/xe/dfwhath.pdf
heald-pond,Heald Pond,Pepperell,https://www.mass.gov/files/documents/2016/08/qz/dfwheal.pdf
heart-pond,Heart Pond,Chelmsford,https://www.mass.gov/files/documents/2019/03/15/heartpond.pdf
herring-pond,Herring Pond,Eastham,https://www.mass.gov/files/documents/2016/08/qd/dfwherr.pdf
higgins-pond,Higgins Pond,Brewster,https://www.mass.gov/files/documents/2016/08/tx/dfwhigg.pdf
hinkley's-pond,Hinkley's Pond,Harwich,https://www.mass.gov/files/documents/2019/03/15/hinkleyspond.pdf
holland-pond,Holland Pond,Holland,https://www.mass.gov/files/documents/2018/02/01/HollandPond.pdf
hopedale-pond,Hopedale Pond,Hopedale,https://www.mass.gov/files/documents/2019/01/04/hopedale_pond.pdf
hopkinton-reservoir,Hopkinton Reservoir,Ashland,https://www.mass.gov/files/documents/2018/01/18/Hopkinton_Reservoir.pdf
horn-pond,Horn Pond,Woburn,https://www.mass.gov/files/documents/2018/12/14/Horn_Pond.pdf
hoxie-pond,Hoxie Pond,Sandwich,https://www.mass.gov/files/documents/2016/08/nx/dfwhoxi.pdf
indian-lake,Indian Lake,Worcester,https://www.mass.gov/files/documents/2018/02/01/Indian%20Lake.pdf
indian-pond,Indian Pond,Kingston,https://www.mass.gov/files/documents/2016/08/qd/dfwindi1.pdf.pdf
island-grove-pond,Island Grove Pond,Abington,https://www.mass.gov/files/documents/2017/10/17/island-grove-pond.pdf
